id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1393482542585537728,Cozy Albany Room Next to downtown W/breakfast,466790114,Zohar,,FIFTH WARD,42.67652148547361,-73.78111383843994,Entire home/apt,47,1,3,2025-06-22,0.51,21,365,3,
1393634713342137582,Albany Modern Home with breakfast Next to Downtown,466790114,Zohar,,ELEVENTH WARD,42.67610273877896,-73.78233682651273,Entire home/apt,50,1,10,2025-09-07,2.10,21,359,10,
1393634936904017469,New Bedroom! Includes Laundry!,55596850,Alain,,NINTH WARD,42.659475284293904,-73.79368120012339,Private room,51,14,4,2025-09-29,0.75,3,292,4,
1395671676833912969,The Small Yellow Room with twin bed /tv,116935236,Felicisimo,,THIRTEENTH WARD,42.669917189344,-73.78632927186241,Private room,41,5,2,2025-09-13,1.30,5,297,2,
1396921235971014566,New Bedroom Centrally Located! Parking & Laundry,55596850,Alain,,FOURTEENTH WARD,42.661116057130855,-73.79408139551636,Private room,45,28,3,2025-08-30,0.82,3,32,3,
1402461183704514588,4 bedroom house in Albany,32379616,Fabiola,,TENTH WARD,42.6605291,-73.7831549,Entire home/apt,129,28,2,2025-08-10,0.61,5,295,2,
1405327220192978468,Room near SUNY Albany,32379616,Fabiola,,TENTH WARD,42.659903296506094,-73.78257397435888,Private room,44,28,0,,,5,363,0,
1405768102601327206,Historic Studio and Great Eats,382970529,Thomas,,SIXTH WARD,42.655450233068514,-73.76273815121087,Entire home/apt,84,2,9,2025-09-18,2.33,17,8,9,
1409646921435856252,Albany Getaway Near Brewery District,692671333,Paul,,FOURTH WARD,42.67225930444639,-73.7390519905538,Entire home/apt,92,2,1,2025-08-30,0.81,1,64,1,
1414503206938039174,Beautiful 1 bed apartment,477328400,Tyler,,SEVENTH WARD,42.648787315458335,-73.76675859025983,Entire home/apt,90,1,6,2025-09-28,1.41,1,353,6,
1415956224087762543,"Near All 
Downtown Albany Apartment",232589050,Lauren,,SECOND WARD,42.6456774,-73.7602082,Entire home/apt,90,1,21,2025-09-30,4.70,1,10,21,
1417686058428307591,Charming Historic Apartment,270608641,Enkelejda,,SIXTH WARD,42.65166,-73.76622,Entire home/apt,78,1,0,,,2,330,0,
1419803505997334256,Modern Historical Albany Living,51050977,Manuel P.,,NINTH WARD,42.6572643,-73.7769051,Entire home/apt,144,7,0,,,2,302,0,
1429997390383679972,Downtown Albany • Hot Tub • Game Room • eV Charger,71003491,Yasiel,,THIRD WARD,42.65665,-73.74868,Entire home/apt,437,2,8,2025-09-26,3.12,1,109,8,
1430417055174000914,Café Capriccio Suite,418024477,Marlene,,SECOND WARD,42.64619243272902,-73.75658877629596,Entire home/apt,150,1,7,2025-08-18,2.12,1,165,7,
1432823196473666155,"Charming, Spacious Apt Downtown Albany",531209536,Amar,,THIRD WARD,42.6579207870488,-73.75026566418697,Entire home/apt,103,7,0,,,2,270,0,
1434108183586713709,Albany Comfy Suite Next to Downtown with Breakfast,466790114,Zohar,,ELEVENTH WARD,42.682246872011966,-73.78338389658927,Entire home/apt,60,1,10,2025-09-04,2.48,21,362,10,
1434112653259573474,Albany Stylish Room minutes to Downtown.,466790114,Zohar,,ELEVENTH WARD,42.680525565301686,-73.7852461638938,Entire home/apt,70,1,4,2025-09-24,1.38,21,365,4,
1435590570769303352,Apartment in Downtown Albany,167102397,Nathan,,SIXTH WARD,42.65422697397571,-73.76720390736077,Entire home/apt,98,2,8,2025-09-02,2.31,1,173,8,
1435797229942642808,Global Entry Unit # 1 (2nd Floor Walk-up),130497392,Dale,,SIXTH WARD,42.65759,-73.7652,Entire home/apt,268,7,0,,,2,365,0,
1439472202376740681,Timelessly Restored 2-Bed Fl 2 Apt @DowntownAlbany,44434571,Earl Vanze,,SECOND WARD,42.64439,-73.75296,Entire home/apt,125,1,15,2025-09-29,4.21,11,358,15,
1447202556849361134,/Red Den Apartment\3bed1bath,52123673,Joseph,,THIRTEENTH WARD,42.66951,-73.78736,Entire home/apt,148,2,1,2025-07-20,0.38,2,356,1,
1448501719166920474,Comfy & Convenient 2-Bed Fl 1 Apt @DowntownAlbany,44434571,Earl Vanze,,SECOND WARD,42.64587,-73.75356,Entire home/apt,123,1,3,2025-08-23,0.97,11,354,3,
1450136720901316807,A charming apartment.,675767467,Jeffrey,,SECOND WARD,42.64535,-73.75678,Entire home/apt,59,2,19,2025-09-30,7.81,2,332,19,
1450156329560932974,Spacious convenient to Hospital and capital,675767467,Jeffrey,,SECOND WARD,42.645104811339436,-73.75712113379716,Entire home/apt,63,2,7,2025-09-07,2.63,2,349,7,
1453493003584640545,Spacious 2-Bed Queen|Free Parking,696324825,Martin,,ELEVENTH WARD,42.67878121331852,-73.78212919711405,Hotel room,,1,2,2025-08-10,0.83,1,0,2,
1453848711003760340,Cozy Monthly | Pvt | W/D | Pets,172658781,Jessica,,NINTH WARD,42.6561578,-73.7921126,Entire home/apt,84,31,0,,,2,37,0,
1454413975547667690,Albany Cozy Home with Breakfast Next to Downtown,466790114,Zohar,,FIFTH WARD,42.67725,-73.78034,Entire home/apt,45,1,5,2025-09-30,2.14,21,357,5,
1454415655361201543,Albany Cozy room W/Breakfast Close to Downtown,466790114,Zohar,,FIFTH WARD,42.67619,-73.78121,Entire home/apt,47,1,2,2025-08-04,0.82,21,365,2,
1454417108090792705,Albany Modern Room W/Breakfast Next to Downtown,466790114,Zohar,,FIFTH WARD,42.67639,-73.78086,Entire home/apt,45,1,6,2025-09-20,2.22,21,365,6,
1454418356838968327,Cozy Albany room W/Breakfast Close to Downtown,466790114,Zohar,,FIFTH WARD,42.67612,-73.78092,Entire home/apt,65,1,16,2025-09-07,5.05,21,364,16,
1455799924350084157,Charming 1 Bedroom House,37769478,Erion,,TENTH WARD,42.66355584811417,-73.7934588865277,Entire home/apt,96,2,5,2025-08-18,1.76,14,339,5,
1456068648939807762,"safe, Cozy Stay in Albany NY",159966670,Manzur,,FOURTEENTH WARD,42.6647,-73.79427,Private room,48,1,14,2025-09-28,4.77,1,355,14,
1459126168828019962,The Dove's Nest of Albany,363028988,Roland,,FOURTEENTH WARD,42.6677,-73.80023,Entire home/apt,47,3,5,2025-09-25,1.79,1,356,5,
1459718314728545998,Historic Downtown Albany 2 Bdrm,272907816,Angela,,SECOND WARD,42.64604,-73.75419,Entire home/apt,121,2,3,2025-08-04,1.15,3,29,3,
1462505515338851900,Cozy Luxury Brownstone Stay w/ Yard & Parking,181867269,Andres,,SECOND WARD,42.64403,-73.75853,Entire home/apt,126,1,14,2025-09-28,5.92,2,345,14,
1464782804892875821,Cozy Historic 2BR • Private Deck • Garage Parking,181867269,Andres,,SECOND WARD,42.64491,-73.7594,Entire home/apt,126,1,7,2025-09-28,3.09,2,353,7,
1465797274904716360,Downtown Living Space,418250661,Stephanie,,THIRD WARD,42.65704,-73.75167,Entire home/apt,90,14,0,,,2,363,0,
1468113967156529966,Albany Cozy Room W/Breakfast Next to Downtown,466790114,Zohar,,FIFTH WARD,42.67627,-73.78226,Entire home/apt,44,1,1,2025-09-06,1,21,361,1,
1468116522806636814,Albany Room W/Breakfast minutes to Downtown,466790114,Zohar,,FIFTH WARD,42.67663,-73.78053,Entire home/apt,47,1,6,2025-09-29,2.77,21,359,6,
1468119019136340688,Central Albany Hotel Room Next to Downtown,466790114,Zohar,,FIFTH WARD,42.67602,-73.78066,Entire home/apt,46,1,1,2025-09-20,1,21,365,1,
1468802371483451790,Sunny top floor unit w/parking,232967878,Diana,,TWELFTH WARD,42.673270710708785,-73.79141634248552,Entire home/apt,142,2,0,,,21,78,0,
1470493488040078187,The Madison- Work Friendly Apt with Parking,564967431,Stephanie,,SIXTH WARD,42.65116120175577,-73.76489493995905,Entire home/apt,64,2,0,,,3,239,0,
1472122509160785254,Bright & Airy 1 BDRM Private Apt,47625981,Linda,,FOURTH WARD,42.65791,-73.74669,Entire home/apt,104,1,4,2025-09-28,1.69,17,347,4,
1473485941065182946,Slate private queen room near AMC,20536619,Emily,,TENTH WARD,42.66295,-73.78792,Private room,68,21,2,2025-09-16,0.90,13,160,2,
1473500943932986440,"Silver private queen room, central location",20536619,Emily,,TENTH WARD,42.66241617967561,-73.78837960927946,Private room,66,7,0,,,13,61,0,
1473509751949424528,"Ivory private queen, walk to AMC",20536619,Emily,,TENTH WARD,42.66325814454161,-73.78982669559142,Private room,81,7,0,,,13,59,0,
1476084665532782592,Sienna private queen near AMC,20536619,Emily,,TENTH WARD,42.66232293480178,-73.78771391087372,Private room,70,28,1,2025-08-11,0.54,13,169,1,
1476780998285613744,Downtown Luxe- Steps to MVP Arena & NYS Capital,710552538,Jonathan,,THIRD WARD,42.6498098,-73.75325649999999,Entire home/apt,63,2,5,2025-09-25,3.13,1,292,5,
1477111453930200793,Ontario's Luxe House,10279606,Noriyuki,,NINTH WARD,42.65547,-73.78949,Entire home/apt,253,1,12,2025-09-21,9.23,4,332,12,
1477115953609986339,Global Entry Unit # 2 (3rd Floor Walk-up),130497392,Dale,,SIXTH WARD,42.65787363814481,-73.76544767506958,Entire home/apt,238,7,0,,,2,365,0,
1477468172276783780,Black&Gold Spacious 4br/1ba flat,20536619,Emily,,TENTH WARD,42.66344,-73.78752,Entire home/apt,261,21,0,,,13,59,0,
1479696659954496070,Central Albany Retreat | Walk Everywhere + Parking,19648678,Terra,,SIXTH WARD,42.6523779,-73.7671603,Entire home/apt,95,1,4,2025-09-16,3.43,5,344,4,
1481862654824444067,Elegant Albany room with Breakfast Next Downtown,466790114,Zohar,,ELEVENTH WARD,42.67808,-73.78208,Entire home/apt,52,1,0,,,21,365,0,
1481865863422349835,Albany Lovely room Next to Downtown W/Breakfast,466790114,Zohar,,FIFTH WARD,42.675801777825,-73.78036874911213,Entire home/apt,,1,0,,,21,351,0,
1481869272871304149,Albany Cozy space with Breakfast Next to Downtown,466790114,Zohar,,FIFTH WARD,42.67736,-73.78108,Entire home/apt,60,1,3,2025-09-07,1.84,21,360,3,
1482199242377376639,Albany Elegant Room W/Breakfast Next to Downtown,466790114,Zohar,,ELEVENTH WARD,42.680940501431586,-73.7846106000441,Entire home/apt,53,1,2,2025-08-20,1.22,21,361,2,
1485723149961736573,Albany Lovely room with Breakfast Next to Downtown,466790114,Zohar,,ELEVENTH WARD,42.68205,-73.7846,Entire home/apt,50,1,0,,,21,365,0,
1485726503410193437,Albany Cozy room W/Breakfast minutes to Downtown,466790114,Zohar,,ELEVENTH WARD,42.68211,-73.78306,Entire home/apt,43,1,1,2025-08-27,0.73,21,365,1,
1486971933919777260,Budget Friendly 2 BDRM with Modern Amenities WILL1,65282034,Diana,,SIXTH WARD,42.65406,-73.76964,Entire home/apt,109,1,5,2025-09-24,3.13,1,351,5,
1498161268794053659,Apartment in Albany,111760206,Rachel,,SIXTH WARD,42.65334,-73.76605,Entire home/apt,57,1,4,2025-09-29,4,1,335,4,
1503537470526077849,The Old Blue Space,426223840,Antonio,,ELEVENTH WARD,42.66452327071085,-73.77739963718653,Entire home/apt,124,1,1,2025-09-14,1,1,348,1,
1509560756079358837,Studio Near Downtown Albany,223245374,Gill,,ELEVENTH WARD,42.68137950691207,-73.78317359616877,Private room,53,1,1,2025-09-26,1,4,84,1,
1510280924413149938,Cozy Teal Retreat - Near Hospitals & Universities,79099670,Nathan,,SEVENTH WARD,42.64166,-73.78424,Private room,78,1,2,2025-09-20,2,1,308,2,
1511129185939661958,The Old Yellow Space,562084689,Antonio,,THIRTEENTH WARD,42.66490908542253,-73.77879829543551,Entire home/apt,103,1,0,,,3,361,0,
1511453437878117120,610) Large Studio Downtown with Pool Table,390089294,Traverse,,SIXTH WARD,42.65294,-73.76511,Entire home/apt,71,2,0,,,6,182,0,
1511463115578002586,610B) Large 1 bedroom downtown!,390089294,Traverse,,FOURTH WARD,42.67410612815129,-73.75067767016992,Entire home/apt,87,2,0,,,6,183,0,
1511475748634247539,610C) Spacious 1 bedroom | Downtown,390089294,Traverse,,SIXTH WARD,42.65562,-73.76445,Entire home/apt,151,2,0,,,6,183,0,
1511560319275262460,610D) Spacious Studio | Downtown,390089294,Traverse,,SIXTH WARD,42.65426,-73.76308,Entire home/apt,108,2,0,,,6,152,0,
1511573692636646423,610E) Very Comfortable Studio Downtown,390089294,Traverse,,SIXTH WARD,42.65228,-73.76491,Entire home/apt,71,2,0,,,6,183,0,
1511582525879389671,610F) Downtown | Studio | Very Cozy,390089294,Traverse,,SIXTH WARD,42.65303,-73.76101,Entire home/apt,93,2,0,,,6,183,0,
1513028059149782480,Bright and Roomy 3BR Home,37769478,Erion,,SIXTH WARD,42.6525801,-73.7723427,Entire home/apt,136,1,2,2025-09-21,2,14,363,2,
1518375730226772587,Studio Minutes Away From Downtown Albany,223245374,Gill,,ELEVENTH WARD,42.67998804983254,-73.78344029443433,Private room,53,1,0,,,4,269,0,
1518378190765531585,Studio Near Downtown Albany,223245374,Gill,,ELEVENTH WARD,42.6806757349118,-73.78336369105054,Private room,53,1,0,,,4,270,0,
1518380413547671135,Studio Minutes Away From Downtown Albany,223245374,Gill,,ELEVENTH WARD,42.68154,-73.78474,Private room,53,1,0,,,4,269,0,
1518943235257584991,Stylish 3BR Stay Near Albany Medical Center,188679144,Elizabeth,,NINTH WARD,42.65527,-73.78585,Entire home/apt,130,1,0,,,9,296,0,
1521064839093130562,Albany Modern Room Next to Downtown with Breakfast,466790114,Zohar,,ELEVENTH WARD,42.6817,-73.78439,Entire home/apt,60,1,0,,,21,362,0,
1522036487464000982,Suite One - 1 Bedroom Apartment,37769478,Erion,,SIXTH WARD,42.65393,-73.7693,Entire home/apt,92,2,0,,,14,313,0,
